customer_id,customer_type,country,is_repeated_guest
1,Transient,PRT,FALSE
2,Transient,PRT,FALSE
3,Transient,GBR,FALSE
4,Transient,GBR,FALSE
5,Transient,GBR,FALSE
6,Transient,GBR,FALSE
7,Transient,PRT,FALSE
8,Transient,PRT,FALSE
9,Transient,PRT,FALSE
10,Transient,PRT,FALSE
11,Transient,PRT,FALSE
12,Transient,PRT,FALSE
13,Transient,USA,FALSE
14,Transient,ESP,FALSE
15,Transient,PRT,FALSE
16,Transient,IRL,FALSE
17,Contract,PRT,FALSE
18,Transient,IRL,FALSE
19,Transient,FRA,FALSE
20,Transient,GBR,FALSE
21,Transient,GBR,FALSE
22,Transient,PRT,FALSE
23,Transient,PRT,FALSE
24,Transient,PRT,FALSE
25,Contract,GBR,FALSE
26,Transient,PRT,FALSE
27,Contract,IRL,FALSE
28,Transient,PRT,FALSE
29,Transient,PRT,FALSE
30,Transient,PRT,FALSE
31,Transient,PRT,FALSE
32,Transient,GBR,FALSE
33,Transient,PRT,FALSE
34,Transient,IRL,FALSE
35,Transient,PRT,FALSE
36,Transient,PRT,FALSE
37,Transient,ESP,FALSE
38,Transient,PRT,FALSE
39,Transient,PRT,FALSE
40,Transient,ROU,FALSE
41,Transient,PRT,FALSE
42,Contract,IRL,FALSE
43,Transient,ESP,FALSE
44,Transient,ROU,FALSE
45,Transient,PRT,FALSE
46,Transient,PRT,FALSE
47,Transient,ESP,FALSE
48,Transient-Party,NOR,FALSE
49,Contract,GBR,FALSE
50,Transient,IRL,FALSE
51,Transient-Party,NOR,FALSE
52,Contract,IRL,FALSE
53,Contract,OMN,FALSE
54,Transient,ESP,FALSE
55,Transient,ARG,FALSE
56,Transient,ESP,FALSE
57,Transient,PRT,FALSE
58,Transient,PRT,FALSE
59,Transient,PRT,FALSE
60,Transient,USA,FALSE
61,Transient,PRT,FALSE
62,Transient,IRL,FALSE
63,Transient,ESP,FALSE
64,Contract,IRL,FALSE
65,Transient,PRT,FALSE
66,Transient,USA,FALSE
67,Transient,ESP,FALSE
68,Transient,POL,FALSE
69,Transient,PRT,FALSE
70,Transient,PRT,FALSE
71,Transient,PRT,FALSE
72,Transient,PRT,FALSE
73,Transient,PRT,FALSE
74,Transient,ESP,FALSE
75,Transient,PRT,FALSE
76,Transient,ESP,FALSE
77,Transient,PRT,FALSE
78,Transient,PRT,FALSE
79,Transient,DEU,FALSE
80,Transient,PRT,FALSE
81,Contract,FRA,FALSE
82,Contract,PRT,FALSE
83,Contract,GBR,FALSE
84,Transient,PRT,FALSE
85,Contract,GBR,FALSE
86,Contract,GBR,FALSE
87,Transient,GBR,FALSE
88,Transient,PRT,FALSE
89,Transient,GBR,FALSE
90,Transient,PRT,FALSE
91,Transient,ESP,FALSE
92,Transient,PRT,FALSE
93,Transient,USA,FALSE
94,Transient,BEL,FALSE
95,Transient,PRT,FALSE
96,Transient,PRT,FALSE
97,Transient,PRT,FALSE
98,Transient,ESP,FALSE
99,Transient,PRT,FALSE
100,Transient,DEU,FALSE
101,Transient,ESP,FALSE
102,Transient,FRA,FALSE
103,Transient,FRA,FALSE
104,Transient,PRT,FALSE
105,Transient,PRT,FALSE
106,Transient,PRT,FALSE
107,Transient,PRT,FALSE
108,Transient,PRT,FALSE
109,Transient,PRT,FALSE
110,Transient,PRT,FALSE
111,Transient,CHE,FALSE
112,Transient,PRT,FALSE
113,Transient,GBR,FALSE
114,Transient,PRT,FALSE
115,Transient,PRT,FALSE
116,Transient,PRT,FALSE
117,Contract,GBR,FALSE
118,Contract,PRT,FALSE
119,Transient,PRT,FALSE
120,Transient,PRT,FALSE
121,Contract,PRT,FALSE
122,Transient,PRT,FALSE
123,Transient,PRT,FALSE
124,Transient,PRT,FALSE
125,Transient,PRT,FALSE
126,Transient,PRT,FALSE
127,Transient,ESP,FALSE
128,Transient-Party,FRA,FALSE
129,Transient,PRT,FALSE
130,Transient-Party,FRA,FALSE
131,Transient-Party,FRA,FALSE
132,Transient,ESP,FALSE
133,Transient,PRT,FALSE
134,Transient,ESP,FALSE
135,Transient,DEU,FALSE
136,Transient,PRT,FALSE
137,Transient,PRT,FALSE
138,Transient,DEU,FALSE
139,Transient,PRT,FALSE
140,Transient,PRT,FALSE
141,Transient,PRT,FALSE
142,Transient,FRA,FALSE
143,Transient,ESP,FALSE
144,Transient,CN,FALSE
145,Transient,ESP,FALSE
146,Transient,PRT,FALSE
147,Transient,ESP,FALSE
148,Transient,PRT,FALSE
149,Transient,PRT,FALSE
150,Transient,PRT,FALSE
151,Transient,PRT,FALSE
152,Transient,IRL,FALSE
153,Transient,PRT,FALSE
154,Transient,ESP,FALSE
155,Transient,CHE,FALSE
156,Transient,PRT,FALSE
157,Transient,PRT,FALSE
158,Contract,GBR,FALSE
159,Contract,GBR,FALSE
160,Contract,GBR,FALSE
161,Transient,PRT,FALSE
162,Transient,PRT,FALSE
163,Transient,USA,FALSE
164,Transient,CN,FALSE
165,Transient,CHE,FALSE
166,Transient,PRT,FALSE
167,Transient,USA,FALSE
168,Transient,PRT,FALSE
169,Transient,PRT,FALSE
170,Transient,PRT,FALSE
171,Transient,PRT,FALSE
172,Transient,USA,FALSE
173,Transient,GRC,FALSE
174,Transient,PRT,FALSE
175,Transient,PRT,FALSE
176,Transient,PRT,FALSE
177,Transient,PRT,FALSE
178,Transient,PRT,FALSE
179,Transient,ESP,FALSE
180,Transient,PRT,FALSE
181,Transient,PRT,FALSE
182,Transient,PRT,FALSE
183,Contract,GBR,FALSE
184,Transient,PRT,FALSE
185,Transient,PRT,FALSE
186,Transient,GBR,FALSE
187,Transient,GBR,FALSE
188,Transient,PRT,FALSE
189,Contract,GBR,FALSE
190,Transient,FRA,FALSE
191,Contract,ITA,FALSE
192,Contract,GBR,FALSE
193,Transient,PRT,FALSE
194,Transient,PRT,FALSE
195,Transient,ESP,FALSE
196,Transient,PRT,FALSE
